,Unnamed: 0,Majority.protein.IDs,Protein.names,Gene.names,L3_4.old.L.OAF,L3_4.old.A.OAF,L3_4.old.P.OAF,L3_4.old.R.OAF,L3_4.old.L.IAF,L3_4.old.R.IAF,L3_4.old.L.IAF_NP,L3_4.old.A.IAF_NP,L3_4.old.P.IAF_NP,L3_4.old.R.IAF_NP,L3_4.old.NP,L3_4.Young.L.OAF,L3_4.young.A.OAF,L3_4.young.P.OAF,L3_4.young.R.OAF,L3_4.young.L.IAF,L3_4.young.R.IAF,L3_4.young.L.IAF_NP,L3_4.young.A.IAF_NP,L3_4.young.P.IAF_NP,L3_4.young.R.IAF_NP,L3_4.young.NP,L4_5.old.L.OAF,L4_5.old.A.OAF,L4_5.old.P.OAF,L4_5.old.R.OAF,L4_5.old.L.IAF,L4_5.old.R.IAF,L4_5.old.L.IAF_NP,L4_5.old.A.IAF_NP,L4_5.old.P.IAF_NP,L4_5.old.R.IAF_NP,L4_5.old.NP,L4_5.young.L.OAF,L4_5.young.A.OAF,L4_5.young.P.OAF,L4_5.young.R.OAF,L4_5.young.L.IAF,L4_5.young.R.IAF,L4_5.young.L.IAF_NP,L4_5.young.A.IAF_NP,L4_5.young.P.IAF_NP,L4_5.young.R.IAF_NP,L4_5.young.NP,L5_S1.old.L.OAF,L5_S1.old.A.OAF,L5_S1.old.P.OAF,L5_S1.old.R.OAF,L5_S1.old.L.IAF,L5_S1.old.R.IAF,L5_S1.old.L.IAF_NP,L5_S1.old.A.IAF_NP,L5_S1.old.P.IAF_NP,L5_S1.old.R.IAF_NP,L5_S1.old.NP,L5_S1.young.L.OAF,L5_S1.young.A.OAF,L5_S1.young.P.OAF,L5_S1.young.R.OAF,L5_S1.young.L.IAF,L5_S1.young.R.IAF,L5_S1.young.L.IAF_NP,L5_S1.young.A.IAF_NP,L5_S1.young.P.IAF_NP,L5_S1.young.R.IAF_NP,L5_S1.young.NP,Type
0,1,Q15019,Septin-2,SEPT2,28.6085,29.2909,27.5333,29.4708,,25.93,27.3726,27.1757,,26.7803,27.1491,26.3656,27.3307,26.9916,26.9555,27.1661,,,,26.406,,27.9961,28.8116,27.158,27.7351,28.0066,,,,,,,24.5231,27.3169,27.5659,,27.3314,,,28.5016,,27.9289,,,27.5574,27.2308,26.8496,28.4558,28.0897,27.8653,,,,,,27.3465,27.754,26.5452,26.7188,26.0375,,,30.9812,,,29.7827,nonMatrisome
1,2,Q99719,Septin-5,SEPT5,24.9863,25.1268,,25.3314,,,,,,,,,24.4472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5656,,,,,,,,,,,,,,,,,,,nonMatrisome
2,3,Q14141,Septin-6,SEPT6,26.2445,26.5978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
3,4,Q16181,Septin-7,SEPT7,28.9264,29.0837,25.83,28.6264,24.6932,24.3798,,,,,,25.9738,27.3429,26.8817,26.5999,25.8505,,,,,,25.5015,27.6746,25.7475,24.6113,,,,,,,,,27.6839,26.7199,24.5725,26.7375,,25.7834,,,,,,,27.2206,,28.569000000000003,,,,,,,,27.4601,27.7054,27.0736,26.569000000000003,,,,,,,,nonMatrisome
4,5,Q92599,Septin-8,SEPT8,25.3465,25.9254,,25.4184,,,,,,,,24.6002,24.9436,,,25.1826,,,,,,,24.7325,,,,,,,,,,,25.1283,,,,,,,,,,,,,,25.4515,,,,,,,,,,25.2289,,,,,,,,,nonMatrisome
5,6,Q9UHD8,Septin-9,SEPT9,26.7127,26.5075,,26.5951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
6,7,Q9P0V9,Septin-10,SEPT10,22.662,23.8612,,24.4889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
7,8,Q9NVA2,Septin-11,SEPT11,28.631,28.8238,,29.0241,,,,,,,,25.724,26.8005,,,,,,,,,25.235,27.625999999999998,,,,,,,,,,,25.0098,24.9757,,25.2611,,,,,,,,,26.8131,,28.9248,,,,,,,,26.5915,26.9338,26.7488,25.3616,,,,,,,,nonMatrisome
8,9,O60613,15 kDa selenoprotein,SEP15,23.1327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonMatrisome
9,10,P04217,Alpha-1B-glycoprotein,A1BG,31.4661,31.736,31.4794,31.5389,32.5172,32.5009,33.8977,32.1185,32.4762,33.387,33.9543,32.4877,25.0358,,24.6975,22.7287,22.6737,,,,24.7249,21.4635,29.8686,30.5613,30.6123,29.9048,31.4945,31.8083,33.0962,32.3859,31.8878,32.3972,33.0098,26.6799,24.281,,23.9202,,,,,19.1834,,25.014,25.7449,28.6567,28.7212,30.6889,25.4729,25.8046,27.8066,27.8129,29.8203,28.2353,29.4171,29.0123,26.4259,25.5843,26.6722,,,,,,,,nonMatrisome
